polish_name;english_name;latin_name;order;family;image
Szablodziób;Pied avocet;Recurvirostra avosetta;Charadriiformes;Recurvirostridae;https://upload.wikimedia.org/wikipedia/commons/a/a6/Recurvirostra_avosetta_-_Zoo_Frankfurt_4.jpg
Szczudłak;Black-winged stilt;Himantopus himantopus;Charadriiformes;Recurvirostridae;https://upload.wikimedia.org/wikipedia/commons/1/1a/Black-necked_Stilt.jpg
Szczygieł;European goldfinch;Carduelis carduelis;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/7/73/Carduelis_carduelis_%28Lukasz_Lukasik%29.jpg
Szlachar;Red-breasted merganser;Mergus serrator;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/6/65/Mergus_serrator_-New_Jersey_-USA_-winter-8.jpg
Szlamnik;Bar-tailed godwit;Limosa lapponica;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/6/6a/Limosa_lapponica1.jpg
Szpak;European starling;Sturnus vulgaris;Passeriformes;Sturnidae;https://upload.wikimedia.org/wikipedia/commons/0/0f/Colourful_starling.jpeg
Ślepowron;Black-crowned night-heron;Nycticorax nycticorax;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/f/f0/Nycticorax_nycticorax1.jpg
Śmieszka;Black-headed gull;Chroicocephalus ridibundus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/a/ad/Laughlock.jpg
Śnieguła;Snow bunting;Plectrophenax nivalis;Passeriformes;Calcariidae;https://upload.wikimedia.org/wikipedia/commons/0/0f/Plectrophenax_nivalis1.jpg
Śpiewak;Song thrush;Turdus philomelos;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/6/6e/Song_Thrush_Turdus_philomelos.jpg
Świergotek drzewny;Tree pipit;Anthus trivialis;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/d/db/Anthus_triviallis_%28Marek_Szczepanek%29.jpg
Świergotek łąkowy;Meadow pipit;Anthus pratensis;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/7/74/Meadow-Pipit.jpg
Świergotek nadmorski;Rock pipit;Anthus petrosus;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/3/37/Faroe_Island.1.bird.jpg
Świergotek polny;Tawny pipit;Anthus campestris;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/a/a7/AnthusCampestris_cropped.jpg
Świergotek rdzawogardły;Red-throated pipit;Anthus cervinus;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/1/12/Red-throated_Pipit_%28Anthus_cervinus%29.jpg
Świerszczak;Common grasshopper-warbler;Locustella naevia;Passeriformes;Locustellidae;https://upload.wikimedia.org/wikipedia/commons/c/c3/Grashoppsangare-070512.jpg
Świstun;Eurasian wigeon;Mareca penelope;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/3/31/Anas_penelope_001.jpg
Świstunka leśna;Wood warbler;Phylloscopus sibilatrix;Passeriformes;Phylloscopidae;https://upload.wikimedia.org/wikipedia/commons/6/60/Phylloscopus_sibilatrix_Barco_Reale_1.jpg
Świstunka żółtawa;Yellow-browed warbler;Phylloscopus inornatus;Passeriformes;Phylloscopidae;https://upload.wikimedia.org/wikipedia/commons/0/05/Phylloscopus_inornatus_%28Yellow-browed_Warbler%29.jpg
Trzciniak;Great reed warbler;Acrocephalus arundinaceus;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/8/83/Acrocephalus_arundinaceus_%28Marek_Szczepanek%29.jpg
Trzcinniczek;Eurasian reed warbler;Acrocephalus scirpaceus;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/e/e9/4566.reed_warbler_holding_food.jpg
Trzmielojad;European honey-buzzard;Pernis apivorus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/d/d8/Pernis_apivorus2.jpg
Trznadel;Yellowhammer;Emberiza citrinella;Passeriformes;Emberizidae;https://upload.wikimedia.org/wikipedia/commons/e/e0/Yellowhammer_3.jpg
Turkawka;European turtle-dove;Streptopelia turtur;Columbiformes;Columbidae;https://upload.wikimedia.org/wikipedia/commons/c/c4/Streptopelia_turtur_Pinares_de_Rostrogordo.jpg
Uhla;Velvet scoter;Melanitta fusca;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/3/35/Velvet_Scoter%2C_Eyebrook_Reservoir%2C_Leics.jpg
Uszatka;Long-eared owl;Asio otus;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/9/97/Waldohreule_in_freier_Wildbahn.jpg
Uszatka błotna;Short-eared owl;Asio flammeus;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/1/1a/Asio_flammeus_-Fazenda_Campo_de_Ouro%2C_Piraju%2C_Sao_Paulo%2C_Brasil-8.jpg
Wąsatka;Bearded reedling;Panurus biarmicus;Passeriformes;Panuridae;https://upload.wikimedia.org/wikipedia/commons/b/b5/Bartmeise%28Cropped%29_by_Wolfram_Riech.jpg
Wilga;Eurasian golden oriole;Oriolus oriolus;Passeriformes;Oriolidae;https://upload.wikimedia.org/wikipedia/commons/8/80/Oriolus_oriolus_Warsaw.jpg
Włochatka;Boreal owl;Aegolius funereus;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/1/17/Aegolius-funereus-001.jpg
Wodniczka;Aquatic warbler;Acrocephalus paludicola;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/1/1d/Seggenrohrsaenger_hand.jpg
Wodnik;Water rail;Rallus aquaticus;Gruiformes;Rallidae;https://upload.wikimedia.org/wikipedia/commons/f/f5/Rallus_aquaticus_1_%28Marek_Szczepanek%29.jpg
Wójcik;Greenish warbler;Phylloscopus trochiloides;Passeriformes;Phylloscopidae;https://upload.wikimedia.org/wikipedia/commons/2/26/Greenish_Warbler_I_IMG_0565.jpg
Wrona siwa;Hooded crow;Corvus cornix;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/8/8d/Hooded_Crow_%28Corvus_cornix%29_%2811%29.jpg
Wróbel;House sparrow;Passer domesticus;Passeriformes;Passeridae;https://upload.wikimedia.org/wikipedia/commons/9/9b/Passer_domesticus3.jpg
Wydrzyk ostrosterny;Parasitic jaeger;Stercorarius parasiticus;Charadriiformes;Stercorariidae;https://upload.wikimedia.org/wikipedia/commons/a/ad/Schmarotzer2.jpg
Zaganiacz;Icterine warbler;Hippolais icterina;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/1/18/Hippolais_icterina1.jpg
Zaroślówka;Blyth's reed warbler;Acrocephalus dumetorum;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/f/f4/Blyth%27s_Reed_Warbler.jpg
Zausznik;Eared grebe;Podiceps nigricollis;Podicipediformes;Podicipedidae;https://upload.wikimedia.org/wikipedia/commons/a/a9/Podiceps_nigricollis_%28Marek_Szczepanek%29.jpg
Zielonka;Little crake;Zapornia parva;Gruiformes;Rallidae;https://upload.wikimedia.org/wikipedia/commons/b/b7/Porzana_parva.jpg
Zięba;Common chaffinch;Fringilla coelebs;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/f/f1/Kikilis.jpg
Zimorodek;Common kingfisher;Alcedo atthis;Coraciiformes;Alcedinidae;https://upload.wikimedia.org/wikipedia/commons/a/a4/Alcedo_atthis-8b.jpg
Zniczek;Common firecrest;Regulus ignicapilla;Passeriformes;Regulidae;https://upload.wikimedia.org/wikipedia/commons/b/b8/Regulus_ignicapillus2.jpg
Żołna;European bee-eater;Merops apiaster;Coraciiformes;Meropidae;https://upload.wikimedia.org/wikipedia/commons/e/e7/%C5%9Eahl%C3%BBr-33.jpg
Żuraw;Common crane;Grus grus;Gruiformes;Gruidae;https://upload.wikimedia.org/wikipedia/commons/2/23/Grus_grus_2_%28Marek_Szczepanek%29.jpg
